point_name,point_id,X,Y,comment
单点采样点8-4,804,1284.16860776283,-8609.47392125216,
单点采样点8-5,805,1442.37034797876,-8683.52136897641,
单点采样点9-1,901,-1344.75996582622,-10135.4864850515,单点采样区域9
单点采样点9-2,902,-1229.30797969017,-10223.8563044899,
单点采样点9-3,903,-1397.38614886493,-10214.4974020785,
单点采样点9-4,904,-1509.87635840173,-10108.3112524484,
单点采样点9-5,905,-1384.46062713726,-9960.63940701662,
单点采样点9-6,906,-1200.65038838142,-10042.7513015064,
单点采样点10-1,1001,6019.38875831602,-4305.97038512952,单点采样区域10
单点采样点10-2,1002,5906.0584338282,-4293.43220676538,
单点采样点10-3,1003,5907.68166567512,-4155.25055512949,
单点采样点10-4,1004,6189.30966248623,-4249.54218166375,
单点采样点10-5,1005,6101.69698175022,-4461.9561607286,
单点采样点10-6,1006,5985.22418470107,-4362.64569029402,
单点采样点11-1,1101,6572.72466489462,8926.32558214391,单点采样区域11
单点采样点11-2,1102,6717.12711532486,8798.21049645904,
单点采样点11-3,1103,6466.32354546127,8768.96407527993,
单点采样点11-4,1104,6378.98554684205,8951.58681857691,
单点采样点11-5,1105,6733.62350457085,8949.36439185274,
单点采样点12-1,1201,4870.33222117669,1981.99379416886,单点采样区域12
单点采样点12-2,1202,4866.62310305657,1912.01369994837,
单点采样点12-3,1203,4701.5794739557,1893.66624996083,
单点采样点12-4,1204,4711.03993838445,2073.94480196161,
单点采样点12-5,1205,4925.79375427749,2156.36155445075,
单点采样点12-6,1206,4979.02599642373,2074.20619387906,
单点采样点13-1,1301,819.771496245652,4144.81839774953,单点采样区域13
单点采样点13-2,1302,717.516985323745,3983.3445827354,
单点采样点13-3,1303,986.036945358263,4163.45909493375,
单点采样点13-4,1304,763.836697378494,4332.97324196926,
单点采样点13-5,1305,640.321002345819,4169.3359473832,
单点采样点14-1,1401,112.783385703369,8553.94629927878,单点采样区域14
单点采样点14-2,1402,256.252644571281,8448.39338496576,
单点采样点14-3,1403,165.817650562387,8540.11694011052,
单点采样点14-4,1404,8.23500624319722,8505.43696097524,
单点采样点14-5,1405,-51.2770269462473,8607.33515185008,
单点采样点15-1,1501,-1656.61209091898,3263.1119025997,单点采样区域15
单点采样点15-2,1502,-1597.19768205797,3383.77791406283,
单点采样点15-3,1503,-1726.78912722377,3410.836443213,
单点采样点15-4,1504,-1806.24896380666,3274.13353150196,
单点采样点15-5,1505,-1793.65178725832,3334.32512361074,
连续采样点1-1,10101,-2304.72242322575,-2057.9701237077,多点连续采样区域1
连续采样点1-2,10102,-2468.80860627266,-2124.18772242385,
连续采样点1-3,10103,-2293.95646078938,-1876.38639839697,
连续采样点1-4,10104,-2117.852480361,-2087.24840016603,
连续采样点1-5,10105,-2349.52592637756,-2235.10482758964,
连续采样点1-6,10106,-2494.91432188927,-2146.40424913037,
连续采样点2-1,10201,-1578.63390058856,-1581.65927092872,多点连续采样区域2
连续采样点2-2,10202,-1410.89529429547,-1675.36886876294,
连续采样点2-3,10203,-1675.92139482235,-1734.22670712434,
连续采样点2-4,10204,-1774.03020677627,-1568.42116956008,
连续采样点2-5,10205,-1612.05052632035,-1393.26089756494,
连续采样点2-6,10206,-1401.14013779441,-1510.53834091359,
连续采样点3-1,10301,-1251.95621753645,-991.979349621563,多点连续采样区域3
连续采样点3-2,10302,-1098.14999755145,-1118.4662435108,
连续采样点3-3,10303,-1408.51107777619,-1108.81707103163,
连续采样点3-4,10304,-1400.58774174939,-871.027831496904,
连续采样点3-5,10305,-1250.45698677756,-805.790005901873,
连续采样点3-6,10306,-1069.66249086471,-942.487856493793,
